alphabet_size,batch_size,hidden_dim,network_type,num_layers,num_trials,seq_length,use_gpu,mean_time,time_sd
100,5,32,lstm,2,50,1,True,0.0008062032889574766,2.749468354995874e-05
100,5,32,lstm,2,50,1,False,0.0005369849782437086,7.5447156865884815e-06
100,10,32,lstm,1,50,1,True,0.0007467934954911471,2.320387784534864e-05
100,10,32,lstm,1,50,1,False,0.00042136440053582193,7.4066069308043525e-06
100,10,32,lstm,2,50,1,True,0.0008113099820911884,1.9704793667099438e-05
100,10,32,lstm,2,50,1,False,0.0006011229660362005,8.423376032420292e-06
100,15,32,lstm,1,50,1,True,0.0007581356447190046,2.7000728843613252e-05
100,15,32,lstm,1,50,1,False,0.0004708455502986908,8.367708234688723e-06
100,15,32,lstm,2,50,1,True,0.000819688169285655,1.8688575691549273e-05
100,15,32,lstm,2,50,1,False,0.0006698871962726116,8.638585565061535e-06
100,20,32,lstm,1,50,1,True,0.0007616906426846981,2.278042401103255e-05
100,20,32,lstm,1,50,1,False,0.0005046876333653927,1.001561963619023e-05
100,20,32,lstm,2,50,1,True,0.0008427259512245655,7.024897327369693e-05
100,20,32,lstm,2,50,1,False,0.0007255743816494942,9.359876273014007e-06
100,40,32,lstm,1,50,1,True,0.0007922293338924647,2.462540726633824e-05
100,40,32,lstm,1,50,1,False,0.0006500747241079808,1.0944186880145804e-05
100,40,32,lstm,2,50,1,True,0.0008583479654043913,1.7232318574212583e-05
100,40,32,lstm,2,50,1,False,0.0009309996571391821,1.002641777287243e-05
100,60,32,lstm,1,50,1,True,0.0008210989367216826,2.585671310744018e-05
100,60,32,lstm,1,50,1,False,0.0007525707874447107,8.741677680635715e-06
100,60,32,lstm,2,50,1,True,0.0008845678064972162,1.4785808038869236e-05
100,60,32,lstm,2,50,1,False,0.0011252684518694878,8.67622571275269e-06
120,1,32,lstm,1,50,1,True,0.0007249764353036881,1.9730585636084494e-05
120,1,32,lstm,1,50,1,False,0.00034572925418615343,9.327566829550544e-06
120,1,32,lstm,2,50,1,True,0.0007924652937799692,2.8433256722916658e-05
120,1,32,lstm,2,50,1,False,0.0004774272534996271,8.92294579791773e-06
120,5,32,lstm,1,50,1,True,0.0007473048660904169,3.121889065663389e-05
120,5,32,lstm,1,50,1,False,0.00041989912278950214,6.597315468310986e-06
120,5,32,lstm,2,50,1,True,0.0008028928097337484,1.8979706702623374e-05
120,5,32,lstm,2,50,1,False,0.0005385691300034523,6.146691237093468e-06
120,10,32,lstm,1,50,1,True,0.0007476357836276293,2.5706703406269325e-05
120,10,32,lstm,1,50,1,False,0.00043799642473459245,9.697919220803267e-06
120,10,32,lstm,2,50,1,True,0.0008133786916732788,2.6312290603898887e-05
120,10,32,lstm,2,50,1,False,0.0006086979899555445,1.666820821046669e-05
120,15,32,lstm,1,50,1,True,0.0007517577428370714,2.3252743970434764e-05
120,15,32,lstm,1,50,1,False,0.0004782472178339958,8.466242808266884e-06
120,15,32,lstm,2,50,1,True,0.0008220348227769137,2.8311355492755618e-05
120,15,32,lstm,2,50,1,False,0.0006765738036483526,8.415143594573789e-06
120,20,32,lstm,1,50,1,True,0.0007565894722938538,2.278202019811292e-05
120,20,32,lstm,1,50,1,False,0.0005182312987744808,9.197604169065819e-06
120,20,32,lstm,2,50,1,True,0.000824896851554513,1.8627195339523687e-05
120,20,32,lstm,2,50,1,False,0.0007250128127634525,8.028104964034409e-06
120,40,32,lstm,1,50,1,True,0.0007850078400224447,2.2867274127493057e-05
120,40,32,lstm,1,50,1,False,0.0006515315733850002,9.52396647802838e-06
120,40,32,lstm,2,50,1,True,0.0008516404964029789,1.5672620243115354e-05
120,40,32,lstm,2,50,1,False,0.0009547595214098692,8.571529886433613e-06
120,60,32,lstm,1,50,1,True,0.0008095877431333065,2.7714957643267795e-05
120,60,32,lstm,1,50,1,False,0.0007489963155239821,9.000013732877101e-06
120,60,32,lstm,2,50,1,True,0.0008756545279175043,1.4423385603003323e-05
120,60,32,lstm,2,50,1,False,0.0011270005069673062,9.253960199482592e-06
140,1,32,lstm,1,50,1,True,0.0007386960089206696,7.57102940988435e-05
140,1,32,lstm,1,50,1,False,0.000351960388943553,9.93489829067971e-06
140,1,32,lstm,2,50,1,True,0.0007930031605064869,2.4299815027429043e-05
140,1,32,lstm,2,50,1,False,0.0004865569155663252,1.0902318177299212e-05
140,5,32,lstm,1,50,1,True,0.0007476945593953133,2.486593733902898e-05
140,5,32,lstm,1,50,1,False,0.00039326177909970283,6.633991466038771e-06
140,5,32,lstm,2,50,1,True,0.0008085665851831436,2.0365413959567036e-05
140,5,32,lstm,2,50,1,False,0.0005507087148725986,7.612557624712092e-06
140,10,32,lstm,1,50,1,True,0.0007674566842615604,3.03861155665981e-05
140,10,32,lstm,1,50,1,False,0.0004543894436210394,6.81233874390813e-06
140,10,32,lstm,2,50,1,True,0.000827482370659709,1.722577524274496e-05
140,10,32,lstm,2,50,1,False,0.0006321967113763094,7.750690576193239e-06
140,15,32,lstm,1,50,1,True,0.0007805044855922461,2.5576465819335474e-05
140,15,32,lstm,1,50,1,False,0.0005092651024460792,9.427024019174033e-06
140,15,32,lstm,2,50,1,True,0.0008430109452456236,1.7427847408852173e-05
140,15,32,lstm,2,50,1,False,0.0006941975094377995,8.262932619701413e-06
140,20,32,lstm,1,50,1,True,0.0007939196564257145,2.236387891453913e-05
140,20,32,lstm,1,50,1,False,0.0005536435637623072,9.93825421400083e-06
140,20,32,lstm,2,50,1,True,0.0008574527222663164,1.6823354872855675e-05
140,20,32,lstm,2,50,1,False,0.000763568002730608,8.162762830533843e-06
140,40,32,lstm,1,50,1,True,0.000852830559015274,2.8586211136605053e-05
140,40,32,lstm,1,50,1,False,0.0007192272413522005,9.180658346624576e-06
140,40,32,lstm,2,50,1,True,0.0009164154343307018,1.0191430740384085e-05
140,40,32,lstm,2,50,1,False,0.0010292200837284326,9.116195902426507e-06
140,60,32,lstm,1,50,1,True,0.0009102861583232879,1.3617790312835017e-05
140,60,32,lstm,1,50,1,False,0.0008835775405168534,9.390634488224154e-06
140,60,32,lstm,2,50,1,True,0.0009765456803143024,5.0816181402518855e-06
140,60,32,lstm,2,50,1,False,0.0012504754960536958,9.77840374069155e-06
160,1,32,lstm,1,50,1,True,0.0007284797634929418,1.3950868435498725e-05
160,1,32,lstm,1,50,1,False,0.0003514575306326151,1.1030192135963636e-05
160,1,32,lstm,2,50,1,True,0.0007924347650259733,2.261950576464931e-05
160,1,32,lstm,2,50,1,False,0.0004892276786267757,1.0766436345169181e-05
160,5,32,lstm,1,50,1,True,0.0007490075007081032,2.564311242584143e-05
160,5,32,lstm,1,50,1,False,0.00039324077777564526,8.014853820175963e-06
160,5,32,lstm,2,50,1,True,0.000830604312941432,2.8227081261177457e-05
